SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback,LeadTime,CalcSales_NoDiscount,CalcSales_WithDiscount,Calculated_Total,Delay
40,25003 Arizona Court,Quinu,149-15-6274,9901,Audi,100,Goldenrod,1992,518104.02,49938-102,Lishe Healeas,Female,Programmer Analyst III,269-952-1497,lhealeas13@hhs.gov,Battle Creek,United States,US,Michigan,0009 Butterfield Pass,2018-07-08,16714-387,2019-02-17,Standard Class,Air,49018,891387.37,2,0.64,maestro,67624342787871137,Bad,224,1036208.04,373034.8944,373034.89,224
43,819 Crest Line Pass,Gigaclub,507-49-8561,1351,Mazda,B-Series,Violet,1996,690487.8,43742-0339,Camile Dewhurst,Female,Structural Analysis Engineer,626-488-5510,cdewhurst16@yahoo.co.jp,Pasadena,United States,US,California,9 Vernon Crossing,2018-10-18,0409-7926,2019-03-01,Second Class,Truck,91125,803434.12,1,0.49,diners-club-carte-blanche,30577737638354,Very Bad,134,690487.8,352148.77800000005,352148.78,134
45,82 Stephen Way,Trilia,648-20-2985,3612,Saab,900,Orange,1987,766717.6,55154-6649,Joly Tincknell,Female,Financial Analyst,989-485-0171,jtincknell18@stumbleupon.com,Saginaw,United States,US,Michigan,5724 Forster Alley,2018-10-20,55154-6707,2019-04-01,Second Class,Truck,48604,752502.57,1,0.47,jcb,3572336952720431,Good,163,766717.6,406360.328,406360.33,163
47,917 Old Gate Center,Realbuzz,681-37-9765,983,Buick,Riviera,Yellow,1997,757855.82,52959-997,Kilian Ivie,Male,Cost Accountant,864-182-7760,kivie1a@ted.com,Spartanburg,United States,US,South Carolina,4152 Grayhawk Avenue,2019-02-23,0440-1771,2019-06-12,Second Class,Air,29319,716453.03,1,0.4,visa,4041593273964,Bad,109,757855.82,454713.492,454713.49,109
48,09149 Corry Alley,Topicstorm,101-67-8057,1449,Mitsubishi,Galant,Goldenrod,1998,770647.91,37205-458,Bobette Tittletross,Female,Accounting Assistant II,615-668-1467,btittletross1b@cbsnews.com,Nashville,United States,US,Tennessee,42 Hoard Hill,2018-08-27,55289-410,2019-02-18,Same Day,Air,37235,946040.4,2,0.7,jcb,3547958419339331,Very Bad,175,1541295.82,462388.7460000001,462388.75,175
49,3 Dawn Court,Oozz,348-06-1263,7701,Mitsubishi,Challenger,Green,2002,672062.8,0268-0899,Deanne Andreolli,Female,Assistant Media Planner,918-407-7055,dandreolli1c@furl.net,Tulsa,United States,US,Oklahoma,0039 Fallview Street,2018-11-04,52709-1001,2019-05-21,Same Day,Air,74133,948811.89,2,0.64,visa,4041379720535,Very Good,198,1344125.6,483885.216,483885.22,198
50,0567 Bartillon Drive,Skynoodle,120-53-8038,8551,Ford,Econoline E350,Goldenrod,1992,603304.49,65321-515,Maje MacShirie,Male,Programmer I,318-739-8113,mmacshirie1d@unicef.org,Shreveport,United States,US,Louisiana,36 Oxford Lane,2019-02-05,66915-613,2019-06-14,Same Day,Air,71130,895110.23,2,0.84,bankcard,5602259875697917,Very Bad,129,1206608.98,193057.4368,193057.44,129
51,88 Troy Hill,Rhyloo,332-97-7780,5587,Saab,9-7X,Red,2006,725775.33,66854-024,Jacinthe Deekes,Female,VP Marketing,651-136-8822,jdeekes1e@themeforest.net,Saint Paul,United States,US,Minnesota,9090 Oakridge Alley,2018-09-02,13107-020,2019-05-20,First Class,Truck,55188,992269.44,1,0.36,switch,4905887852627247,Bad,260,725775.33,464496.2112,464496.21,260
52,984 Mitchell Pass,Avaveo,696-61-0894,9116,Gmc,Sierra 3500,Red,2007,719787.61,30142-163,Aguie Woodland,Male,Data Coordiator,915-616-9370,awoodland1f@fema.gov,El Paso,United States,US,Texas,06 Northland Parkway,2018-11-27,63629-4358,2019-05-11,Same Day,Truck,79905,862750.76,1,0.56,visa,4041376214701911,Bad,165,719787.61,316706.5484,316706.55,165
53,02169 Melvin Street,Jabbersphere,867-04-5328,3420,Pontiac,Grand Prix,Goldenrod,2008,626150.56,68788-9178,Eldon Bartlam,Male,General Manager,602-913-3546,ebartlam1g@biglobe.ne.jp,Tempe,United States,US,Arizona,481 Calypso Street,2019-01-18,43857-0292,2019-04-23,Second Class,Air,85284,858141.4,2,0.62,jcb,3548802121832283,Very Bad,95,1252301.12,475874.4256000001,475874.43,95
54,81 Ilene Crossing,Demizz,308-66-6652,5163,Ford,Bronco,Red,1990,578528.68,0517-7630,Marlane Nutten,Female,Product Engineer,561-339-5265,mnutten1h@chron.com,West Palm Beach,United States,US,Florida,96 Mcguire Hill,2019-04-14,68016-213,2019-05-10,First Class,Air,33416,761296.61,2,0.68,visa,4041371642821308,Okay,26,1157057.36,370258.3552,370258.36,26
55,60895 Eliot Way,Wikido,838-19-4550,7900,Cadillac,Escalade EXT,Fuscia,2011,575587.24,36987-1206,Gery Zamora,Male,VP Marketing,661-743-8253,gzamora1i@slideshare.net,Lancaster,United States,US,California,0329 Butterfield Court,2018-09-20,63629-1792,2019-04-25,First Class,Truck,93584,903568.39,2,0.56,diners-club-carte-blanche,30216536185958,Very Good,217,1151174.48,506516.7712,506516.77,217
56,24 Golf Course Point,Oyoba,131-70-4415,1402,Lexus,IS,Violet,2005,501225.2,0093-6126,Nichole Longlands,Female,VP Sales,269-868-5073,nlonglands1j@auda.org.au,Kalamazoo,United States,US,Michigan,659 Mitchell Alley,2018-12-04,54868-6368,2019-04-06,Same Day,Truck,49048,835589.93,1,0.83,switch,5641829342998380589,Good,123,501225.2,85208.28400000003,85208.28,123
57,12 Gateway Pass,Blogspan,632-63-7005,3562,Nissan,Rogue,Blue,2008,533876.93,51060-009,Ted Schroter,Female,Quality Control Specialist,754-589-8037,tschroter1k@nature.com,Fort Lauderdale,United States,US,Florida,9 Darwin Trail,2019-06-03,0280-6091,2019-06-17,Second Class,Air,33355,993775.95,2,0.62,bankcard,5602244687262597,Bad,14,1067753.86,405746.46680000005,405746.47,14
58,7 5th Street,Wikivu,754-14-1688,7772,Rolls-Royce,Phantom,Blue,2013,680954.64,55319-533,Maximilien Cortez,Male,Engineer I,405-442-9003,mcortez1l@i2i.jp,Oklahoma City,United States,US,Oklahoma,2 Pierstorff Park,2018-10-26,76439-209,2019-04-25,First Class,Truck,73197,960718.44,1,0.89,jcb,3564417859541060,Very Bad,181,680954.64,74905.0104,74905.01,181
60,6 Sloan Trail,Skipstorm,569-13-4343,4681,Infiniti,J,Indigo,1993,696777.09,61336-001,Chrissie Whittaker,Male,Web Developer III,202-617-9627,cwhittaker1n@example.com,Washington,United States,US,District of Columbia,76 Eagle Crest Point,2019-01-03,0615-7565,2019-06-11,Standard Class,Truck,20005,935708.53,1,0.63,laser,63048443465578551,Okay,159,696777.09,257807.5233,257807.52,159
61,8 American Center,Thoughtworks,574-74-0037,8104,Pontiac,Grand Prix,Fuscia,2002,550962.34,0135-0460,Chadd Firpi,Male,Administrative Assistant III,479-672-2885,cfirpi1o@wp.com,Fort Smith,United States,US,Arkansas,3 Corscot Circle,2019-02-23,58118-0212,2019-04-19,Standard Class,Truck,72905,807275.14,2,0.86,china-unionpay,5602253357506398953,Very Good,55,1101924.68,154269.4552,154269.46,55
62,28872 Grim Place,Photojam,154-42-3936,5299,Chevrolet,Camaro,Yellow,2010,757579.72,53150-411,Caro Pettegre,Female,Administrative Assistant II,734-983-0921,cpettegre1p@un.org,Detroit,United States,US,Michigan,6 Melby Street,2018-08-02,54868-6209,2019-01-26,Second Class,Air,48211,916777.9,2,0.46,china-unionpay,56022260814751018,Very Good,177,1515159.44,818186.0976,818186.1,177
63,39915 Pond Trail,Browsetype,115-08-9699,3987,Nissan,Maxima,Maroon,1996,520683.36,60560-1072,Huberto Lawdham,Male,Actuary,217-967-3290,hlawdham1q@cnbc.com,Champaign,United States,US,Illinois,81314 Eggendart Court,2018-10-01,62032-131,2019-01-18,First Class,Air,61825,936548.81,2,0.89,jcb,3560128465684343,Very Good,109,1041366.72,114550.3392,114550.34,109
64,00 Haas Circle,Tagopia,650-78-4303,4550,Mitsubishi,Galant,Aquamarine,2002,737510.19,52380-3101,Madonna Sultan,Female,Staff Scientist,469-365-6966,msultan1r@4shared.com,Plano,United States,US,Texas,343 Corry Pass,2018-08-23,61722-002,2019-03-09,First Class,Air,75074,752627.75,2,0.42,jcb,3572860776374778,Very Bad,198,1475020.38,855511.8204000001,855511.82,198
65,6 Briar Crest Lane,Livepath,583-38-9758,8174,Ferrari,California,Teal,2010,577349.21,51141-1000,Tibold Glanfield,Male,Compensation Analyst,214-358-3694,tglanfield1s@fc2.com,Garland,United States,US,Texas,32 Farragut Terrace,2019-03-26,51138-212,2019-03-30,Same Day,Truck,75044,781362.73,2,0.42,jcb,3567758794353351,Very Good,4,1154698.42,669725.0836,669725.08,4
66,6834 Service Road,Oodoo,847-62-7635,6995,Kia,Sportage,Yellow,2005,603904.91,0781-6523,Veriee Scrivner,Female,Registered Nurse,317-595-2923,vscrivner1t@cdbaby.com,Indianapolis,United States,US,Indiana,75 Aberg Center,2018-09-01,49288-0231,2019-06-17,Same Day,Air,46247,829499.12,2,0.45,jcb,3586983048554995,Good,289,1207809.82,664295.4010000001,664295.4,289
67,9 Atwood Court,Blogtags,792-59-1635,8129,Volvo,V50,Goldenrod,2011,687399.66,43196-514,Cristian Peschka,Male,Occupational Therapist,910-835-1519,cpeschka1u@eepurl.com,Fayetteville,United States,US,North Carolina,1 Northland Trail,2018-07-05,0173-0838,2019-03-18,Same Day,Truck,28305,741827.31,2,0.49,mastercard,5592437726699629,Very Bad,256,1374799.32,701147.6532000001,701147.65,256
68,0759 Swallow Drive,Gigashots,826-37-9051,8854,Nissan,Sentra,Yellow,2006,567121.2,0517-0033,Ethelred Thorington,Male,Tax Accountant,210-554-6825,ethorington1v@ask.com,San Antonio,United States,US,Texas,60 Coleman Hill,2019-03-06,57237-101,2019-04-02,Same Day,Air,78220,849446.97,1,0.42,visa,4041595755085067,Very Bad,27,567121.2,328930.29600000003,328930.3,27
70,2693 Lakewood Pass,Zooxo,185-82-6741,7841,Mercedes-Benz,SL-Class,Blue,2000,693279.61,64980-183,Winna Heber,Female,Automation Specialist IV,816-693-0309,wheber1x@twitter.com,Kansas City,United States,US,Missouri,43 Hanson Street,2018-12-31,0054-0254,2019-05-08,First Class,Air,64136,723633.61,2,0.3,china-unionpay,56022584541703749,Very Good,128,1386559.22,970591.454,970591.45,128
71,1954 Evergreen Lane,Fivespan,174-23-9420,9355,Volvo,C70,Turquoise,1999,669557.49,35356-844,Blondie Pirie,Female,Business Systems Development Analyst,205-114-5791,bpirie1y@wufoo.com,Birmingham,United States,US,Alabama,0484 Delaware Crossing,2019-01-28,55316-249,2019-04-03,Standard Class,Air,35290,979593.39,2,0.67,jcb,3536766462774004,Okay,65,1339114.98,441907.94339999993,441907.94,65
72,3 Emmet Plaza,Linkbuzz,741-42-7881,9824,Dodge,Ram Van 3500,Goldenrod,2001,508230.44,68180-403,Lynde Kiezler,Female,Biostatistician II,205-379-8812,lkiezler1z@go.com,Birmingham,United States,US,Alabama,822 American Parkway,2018-07-23,10370-116,2019-03-12,First Class,Air,35231,959819.33,2,0.88,china-unionpay,560224417511575374,Okay,232,1016460.88,121975.3056,121975.31,232
74,34864 Rutledge Circle,Jazzy,299-52-5394,149,Isuzu,Trooper,Puce,1992,656202.16,54868-4250,Giusto Bollis,Male,Geological Engineer,508-843-5655,gbollis21@i2i.jp,Brockton,United States,US,Massachusetts,37867 Lindbergh Pass,2019-04-25,59262-601,2019-06-13,Same Day,Truck,2305,941994.61,1,0.36,china-unionpay,5602238433604841853,Bad,49,656202.16,419969.3824,419969.38,49
75,2 Graceland Avenue,Dabtype,855-68-8013,8521,Toyota,MR2,Puce,2001,505282.4,53499-0390,Marwin Francescozzi,Male,VP Marketing,817-214-8029,mfrancescozzi22@go.com,Arlington,United States,US,Texas,96 Melby Lane,2018-09-23,63824-271,2019-05-30,Second Class,Truck,76096,779114.68,1,0.43,diners-club-carte-blanche,30030857919261,Very Bad,249,505282.4,288010.96800000005,288010.97,249
77,1268 Goodland Drive,Vimbo,614-88-1667,4876,Dodge,Ram 2500,Blue,2008,553348.39,41520-199,Arlinda Stocker,Female,VP Accounting,972-525-5279,astocker24@domainmarket.com,Dallas,United States,US,Texas,41 Cody Road,2018-11-20,51141-2000,2019-04-06,Second Class,Air,75221,852540.42,2,0.45,diners-club-us-ca,5436198438883402,Okay,137,1106696.78,608683.229,608683.23,137
78,479 Shoshone Center,Fadeo,433-83-1238,7833,Mitsubishi,Precis,Aquamarine,1994,766396.94,0944-4351,Joan Beddon,Female,Marketing Manager,206-955-3681,jbeddon25@nydailynews.com,Seattle,United States,US,Washington,9170 Delladonna Place,2018-12-15,51367-008,2019-05-24,Second Class,Air,98127,899946.21,1,0.8,jcb,3557637705094746,Bad,160,766396.94,153279.38799999995,153279.39,160
79,35 5th Plaza,Thoughtstorm,673-60-4852,2755,Oldsmobile,Bravada,Teal,2004,707517.46,76519-1017,Blythe Lampens,Female,Accountant I,404-400-7955,blampens26@google.ca,Atlanta,United States,US,Georgia,28 Granby Place,2019-04-14,61748-017,2019-05-29,Second Class,Air,31132,954701.77,2,0.29,jcb,3576454435682098,Okay,45,1415034.92,1004674.7931999998,1004674.79,45
80,24 Loeprich Terrace,Eadel,807-93-0024,9933,Buick,Regal,Purple,1989,667039.78,45963-538,Ozzie Oade,Male,Database Administrator III,321-117-4073,ooade27@bluehost.com,Orlando,United States,US,Florida,272 Forster Parkway,2018-09-15,0904-0304,2019-05-11,Same Day,Truck,32803,830149.53,2,0.58,diners-club-enroute,201830280140846,Very Good,238,1334079.56,560313.4152,560313.42,238
83,65 Jay Avenue,Zazio,699-20-4385,4469,Cadillac,Seville,Maroon,2004,778797.87,0185-0157,Hymie Swyndley,Male,Senior Cost Accountant,917-422-3564,hswyndley2a@photobucket.com,Brooklyn,United States,US,New York,3 Del Sol Way,2018-12-26,51514-0333,2019-03-13,Second Class,Air,11236,881348.59,2,0.86,jcb,3561412354380729,Very Bad,77,1557595.74,218063.4036,218063.4,77
84,0144 New Castle Center,Tagfeed,615-16-7269,3865,Kia,Optima,Violet,2002,620793.44,24208-544,Sharron Cranna,Female,Staff Scientist,225-841-0636,scranna2b@multiply.com,Baton Rouge,United States,US,Louisiana,6 Melody Circle,2018-07-16,0268-6706,2019-02-04,Same Day,Air,70820,861113.04,1,0.82,jcb,3554242727652994,Bad,203,620793.44,111742.81920000004,111742.82,203
85,58564 Golf Course Road,Fatz,523-80-9887,5712,Nissan,Sentra,Pink,1999,777163.99,29149-001,Ericha Hagard,Female,Account Representative IV,602-305-8027,ehagard2c@elpais.com,Phoenix,United States,US,Arizona,364 Buhler Avenue,2018-08-04,66715-9735,2019-04-14,Same Day,Air,85099,992886.7,2,0.48,mastercard,5100148606460025,Very Bad,253,1554327.98,808250.5496,808250.55,253
